irn,DarYearCollected,DarHigherTaxon,DarCollector,DarCollector2,DarStateProvince,DarCounty,DarLocality,DarIdentifiedBy
159671,1897,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Isopoda, Asellota, Janiridae",M.Rathbun,,Maine,,Frenchman's Bay,"Forsman, B."
358618,1897,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,Maine,,"Frenchman Bay, Taft's Point","Ahearn, Cynthia, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
253732,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Mysidacea",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, Off Long Beach","Tattersall, Walter M."
265109,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Amphipoda, Gammaridea",M.Rathbun,,New Brunswick,,"Grand Manan Island, Off Long Beach","Shoemaker, Clarence R."
427418,1898,"Animalia, Mollusca, Gastropoda, Littorinidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Flaggs Cove","Rosewater, J."
427419,1898,"Animalia, Mollusca, Gastropoda, Littorinidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Flaggs Cove","Rosewater, J."
427420,1898,"Animalia, Mollusca, Gastropoda, Littorinidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Flaggs Cove","Rosewater, J."
427421,1898,"Animalia, Mollusca, Gastropoda, Littorinidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Flaggs Cove","Rosewater, J."
902479,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Isopoda, Flabellifera, Cirolanidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Off Long Beach","Riseman, Sarah F.; Brusca, Richard C."
196055,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Isopoda, Flabellifera, Aegidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Off Long Beach","Riseman, Sarah F., University of Charleston"
179693,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Isopoda, Valvifera, Idoteidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Off Long Beach","Richardson, H."
179807,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Isopoda, Valvifera, Idoteidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Off Long Beach","Richardson, H."
179263,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Isopoda, Oniscidea, Porcellionidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Richardson, H."
252654,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Isopoda, Epicaridea, Bopyridae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Richardson, H."
306558,1898,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Rathbun, Mary Jane, Smithsonian Institution"
312152,1898,"Animalia, Echinodermata, Asteroidea, Spinulosida, Echinasteridae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Rathbun, Mary Jane, Smithsonian Institution"
300933,1898,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Rathbun, Mary Jane, Smithsonian Institution"
13466450,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Cancridae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Rathbun, Mary Jane, Smithsonian Institution"
17226,1898,"Animalia, Cnidaria, Scyphozoa, Semaeostomeae, Ulmaridae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Rathbun, Mary Jane, Smithsonian Institution"
17227,1898,"Animalia, Cnidaria, Hydrozoa, Leptolinae, Leptothecata, Conica, Laodiceidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Rathbun, Mary Jane, Smithsonian Institution"
17230,1898,"Animalia, Cnidaria, Hydrozoa, Leptolinae, Leptothecata, Conica, Laodiceidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Rathbun, Mary Jane, Smithsonian Institution"
17231,1898,"Animalia, Cnidaria, Hydrozoa, Leptolinae, Leptothecata, Conica, Laodiceidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Rathbun, Mary Jane, Smithsonian Institution"
14680280,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Oregoniidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Rathbun, Mary Jane, Smithsonian Institution"
723282,1898,"Animalia, Annelida, Polychaeta, Sedentaria, Scolecida, Orbiniidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Pettibone, Marian H., Smithsonian Institution, National Museum of Natural History"
719092,1898,"Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Phyllodociformia, Phyllodocidae, Phyllodocinae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Between Nantucket And High Duck","Pettibone, Marian H., Smithsonian Institution, National Museum of Natural History"
719101,1898,"Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Phyllodociformia, Phyllodocidae, Eteoninae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Pettibone, Marian H., Smithsonian Institution, National Museum of Natural History"
11477776,1898,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Sabellidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Perkins, Thomas, Florida Marine Research Institute (UNITED STATES)"
734019,1898,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Sabellidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Perkins, T. H., Florida Marine Research Laboratory"
27497,1898,"Animalia, Cnidaria, Staurozoa, Cleistocarpidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, Between Nantucket And High Duck Island","Larson, R. J."
126051,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Amphipoda, Gammaridea",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Just, J."
306191,1898,"Animalia, Echinodermata, Holothuroidea, Dendrochirotida, Cucumariidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Edwards, C. L."
611067,1898,"Animalia, Chordata, Urochordata, Ascidiacea, Enterogona, Phlebobranchia, Ascidiidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Cole, Linda L., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
611116,1898,"Animalia, Chordata, Urochordata, Ascidiacea, Enterogona, Phlebobranchia, Ascidiidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Cole, Linda L., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
610977,1898,"Animalia, Chordata, Urochordata, Ascidiacea, Pleurogona, Stolidobranchia, Pyuridae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Cole, Linda L., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
611087,1898,"Animalia, Chordata, Urochordata, Ascidiacea, Pleurogona, Stolidobranchia, Pyuridae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Cole, Linda L., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
615134,1898,"Animalia, Chordata, Urochordata, Ascidiacea, Enterogona, Phlebobranchia, Ascidiidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Cole, Linda L., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
312036,1898,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Clark, Austin Hobart"
