barcode,catalog_no,order,family,family_name,collector_name,year_collected,country,province_state,ezid
3179075,1534405,Solanales,Polemoniaceae,Pholox family,M. V. Walcott,1905,United States,Utah,http://n2t.net/ark:/65665/362a36d95-d21c-44bd-ae63-740fb9ea3111
1128870,1476220,Lamiales,Ehretiaceae,Ehretiaceae,M. V. Walcott,1915,Puerto Rico,Guánica,http://n2t.net/ark:/65665/36c923042-28d5-4b3c-8433-de3942fa9773
1835590,888531,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1918,Canada,British Columbia,http://n2t.net/ark:/65665/39c0ecd1a-bcb4-4a6d-beb2-9dbb5e674940
2773176,888532,Lamiales,Lamiaceae,Mints,M. V. Walcott,1918,Canada,British Columbia,http://n2t.net/ark:/65665/3345bd043-d9ed-4088-8e97-fc52ec5491d6
2788940,1085831,Dipsacales,Caprifoliaceae,Honeysuckle family,M. V. Walcott,1919,Canada,Alberta,http://n2t.net/ark:/65665/3611c5f03-4378-4aa4-90f6-68ca379d2502
2441249,1085862,Rosales,Fabaceae,legumes,M. V. Walcott,1919,Canada,Alberta,http://n2t.net/ark:/65665/3acc97365-d888-4c19-96ee-709be1617176
2445163,1085863,Rosales,Fabaceae,legumes,M. V. Walcott,1919,Canada,Alberta,http://n2t.net/ark:/65665/39ecb7942-4beb-4448-87f3-06ba1c398065
22480,1085909,Orchidales,Orchidaceae,Orchids,M. V. Walcott,1919,Canada,Alberta,http://n2t.net/ark:/65665/3efa62041-ef35-4148-b25e-87b6ad575c9d
5815,1085907,Orchidales,Orchidaceae,Orchids,M. V. Walcott,1919,Canada,Alberta,http://n2t.net/ark:/65665/3e03834da-1f63-4d40-ae86-b8f4cdaead7c
3128768,1085843,Primulales,Primulaceae,Primroses,M. V. Walcott,1919,Canada,Alberta,http://n2t.net/ark:/65665/31a423a1f-ddc3-4b28-aaa7-a61c821cd354
3103475,1085855,Ericales,Pyrolaceae,Heather family,M. V. Walcott,1919,Canada,Alberta,http://n2t.net/ark:/65665/38dc62290-5a2c-45d1-8a44-d06fdaf7c696
2556939,1085834,Rubiales,Rubiaceae,Madder family,M. V. Walcott,1919,Canada,Alberta,http://n2t.net/ark:/65665/38efac910-b1dd-4632-bc31-7f544858ba32
2913087,1085840,Lamiales,Boraginaceae,Borages ,M. V. Walcott,1919,Canada,British Columbia,http://n2t.net/ark:/65665/347252d66-6fd9-4e17-8cc5-bb479263c61a
2104215,1433975,Cyperales,Cyperaceae,Sedges,M. V. Walcott,1921,Canada,Alberta,http://n2t.net/ark:/65665/34490058c-a728-40c8-b5ed-73e3dd8285e6
1686082,1433951,Asterales,Asteraceae,Daisy family ,M. V. Walcott,1921,Canada,British Columbia,http://n2t.net/ark:/65665/3c547178f-cbdb-4f80-b20f-1ff0dac96ccf
1242759,1243753,Malvales,Malvaceae,Mallows,M. V. Walcott,1926,United States,California,http://n2t.net/ark:/65665/30e90c434-0601-4e4f-bcaf-041f68369837
1863773,1287593,Sapindales,Aceraceae,Maple family,M. V. Walcott,1926,United States,South Carolina,http://n2t.net/ark:/65665/310ab5d58-ce3f-4d2f-9823-52fa3433b0e3
